I0918 08:20:12.400858 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:12.402057 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:12.402233 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:12.402433 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:12.402514 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:12.402809 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:12.403661 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:12.461763 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.083523 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.084265 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.084363 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.084486 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.084923 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.085327 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.087066 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.102221 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.239151 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.242331 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.244632 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.245445 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.245760 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.245811 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.246312 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.262755 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.392017 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.400592 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.401381 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.401391 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.401453 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.401531 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.402508 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:13.417248 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:16.884235 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:16.884406 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
